group_id,main_title_guess,main_file_count,supplement_file_count,total_file_count,primary_file,main_files,supplement_files
029,029_fire_blight_qtl_analysis_in_a_007_Fire blight QTL analysis in a multi-family apple population identifies a reduced-susceptibility allele in 'Honeycrisp',1,6,7,029_fire_blight_qtl_analysis_in_a_007_Fire blight QTL analysis in a multi-family apple population identifies a reduced-susceptibility allele in 'Honeycrisp'.pdf,029_fire_blight_qtl_analysis_in_a_007_Fire blight QTL analysis in a multi-family apple population identifies a reduced-susceptibility allele in 'Honeycrisp'.pdf,029_fire_blight_qtl_analysis_in_a_001_Figure S1.pdf | 029_fire_blight_qtl_analysis_in_a_002_Figure S2.pdf | 029_fire_blight_qtl_analysis_in_a_003_Figure S3.pdf | 029_fire_blight_qtl_analysis_in_a_004_Figure S4.pdf | 029_fire_blight_qtl_analysis_in_a_005_Figure S5.pdf | 029_fire_blight_qtl_analysis_in_a_006_Figure S6.pdf
030,030_role_of_mderf3_and_mderf118_natural_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness--crispness retainability and development of QTL-based genomics-assisted prediction,1,0,1,030_role_of_mderf3_and_mderf118_natural_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness--crispness retainability and development of QTL-based genomics-assisted prediction.pdf,030_role_of_mderf3_and_mderf118_natural_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness--crispness retainability and development of QTL-based genomics-assisted prediction.pdf,
031,031_paper_001_‘秦冠’苹果遗传连锁图谱的构建及褐斑病抗性基因的定位_刘博洋,1,0,1,031_paper_001_‘秦冠’苹果遗传连锁图谱的构建及褐斑病抗性基因的定位_刘博洋.pdf,031_paper_001_‘秦冠’苹果遗传连锁图谱的构建及褐斑病抗性基因的定位_刘博洋.pdf,
032,032_a_genome_wide_association_study_of_001_A Genome-Wide Association Study of Apple Quality and Scab Resistance,1,0,1,032_a_genome_wide_association_study_of_001_A Genome-Wide Association Study of Apple Quality and Scab Resistance.pdf,032_a_genome_wide_association_study_of_001_A Genome-Wide Association Study of Apple Quality and Scab Resistance.pdf,
033,033_genome_wide_association_mapping_identifi_001_Genome-wide association mapping identifies novel loci underlying fire blight resistance in apple,1,0,1,033_genome_wide_association_mapping_identifi_001_Genome-wide association mapping identifies novel loci underlying fire blight resistance in apple.pdf,033_genome_wide_association_mapping_identifi_001_Genome-wide association mapping identifies novel loci underlying fire blight resistance in apple.pdf,
034,034_novel_genomic_approaches_unravel_genetic_001_Novel genomic approaches unravel genetic architecture of complex traits in apple,1,0,1,034_novel_genomic_approaches_unravel_genetic_001_Novel genomic approaches unravel genetic architecture of complex traits in apple.pdf,034_novel_genomic_approaches_unravel_genetic_001_Novel genomic approaches unravel genetic architecture of complex traits in apple.pdf,
035,035_genome_to_phenome_mapping_in_apple_001_Genome to Phenome Mapping in Apple Using Historical Data,1,0,1,035_genome_to_phenome_mapping_in_apple_001_Genome to Phenome Mapping in Apple Using Historical Data.pdf,035_genome_to_phenome_mapping_in_apple_001_Genome to Phenome Mapping in Apple Using Historical Data.pdf,
036,036_a_dense_snp_genetic_map_constructed_001_A dense SNP genetic map constructed using restriction site-associated DNA sequencing enables detection of QTLs controlling apple fruit quality,1,1,2,036_a_dense_snp_genetic_map_constructed_001_A dense SNP genetic map constructed using restriction site-associated DNA sequencing enables detection of QTLs controlling apple fruit quality.pdf,036_a_dense_snp_genetic_map_constructed_001_A dense SNP genetic map constructed using restriction site-associated DNA sequencing enables detection of QTLs controlling apple fruit quality.pdf,036_a_dense_snp_genetic_map_constructed_002_Additional file 1.pdf
037,037_identification_of_qtls_for_fruit_quality_001_Identification of QTLs for fruit quality traits in Japanese apples  QTLs for early ripening are tightly related to preharvest fruit drop,1,2,3,037_identification_of_qtls_for_fruit_quality_001_Identification of QTLs for fruit quality traits in Japanese apples  QTLs for early ripening are tightly related to preharvest fruit drop.pdf,037_identification_of_qtls_for_fruit_quality_001_Identification of QTLs for fruit quality traits in Japanese apples  QTLs for early ripening are tightly related to preharvest fruit drop.pdf,037_identification_of_qtls_for_fruit_quality_002_64_240_s1.pdf | 037_identification_of_qtls_for_fruit_quality_003_64_240_s2.pdf
038,038_identification_of_novel_strain_specific__001_Identification of Novel Strain-Specific and Environment-Dependent Minor QTLs Linked to Fire Blight Resistance in Apples,1,0,1,038_identification_of_novel_strain_specific__001_Identification of Novel Strain-Specific and Environment-Dependent Minor QTLs Linked to Fire Blight Resistance in Apples.pdf,038_identification_of_novel_strain_specific__001_Identification of Novel Strain-Specific and Environment-Dependent Minor QTLs Linked to Fire Blight Resistance in Apples.pdf,
039,039_development_and_application_of_key_allel_001_Development and application of Key Allele-Specific PCR (KASP) molecular markers for assessing apple fruit crispness,1,0,1,039_development_and_application_of_key_allel_001_Development and application of Key Allele-Specific PCR (KASP) molecular markers for assessing apple fruit crispness.pdf,039_development_and_application_of_key_allel_001_Development and application of Key Allele-Specific PCR (KASP) molecular markers for assessing apple fruit crispness.pdf,
